No,Class,クラス名
1,"000_kit_fox,_Vulpes_macrotis",キットギツネ
2,001_English_setter,イングリッシュ・セター
3,002_Australian_terrier,オーストラリアン・テリア
4,"003_grey_whale,_gray_whale,_devilfish,_Eschrichtius_gibbosus,_Eschrichtius_robustus",コククジラ
5,"004_lesser_panda,_red_panda,_panda,_bear_cat,_cat_bear,_Ailurus_fulgens",レッサーパンダ
6,005_Egyptian_cat,エジプシャンマウ
7,"006_ibex,_Capra_ibex",アイベックス
8,007_Persian_cat,ペルシャ猫
9,"008_cougar,_puma,_catamount,_mountain_lion,_painter,_panther,_Felis_concolor",ピューマ
10,009_gazelle,ガゼル
11,"010_porcupine,_hedgehog",ヤマアラシ
12,011_sea_lion,アシカ
13,012_badger,狸
14,013_Great_Dane,グレート・デーン
15,"014_Scottish_deerhound,_deerhound",スコティッシュ・ディアハウンド
16,"015_killer_whale,_killer,_orca,_grampus,_sea_wolf,_Orcinus_orca",シャチ
17,016_mink,ミンク
18,"017_African_elephant,_Loxodonta_africana",アフリカゾウ
19,"018_red_wolf,_maned_wolf,_Canis_rufus,_Canis_niger",アメリカアカオオカミ
20,"019_jaguar,_panther,_Panthera_onca,_Felis_onca",ジャガー
21,"020_hyena,_hyaena",ハイエナ
22,"021_titi,_titi_monkey",ティティサル
23,"022_three-toed_sloth,_ai,_Bradypus_tridactylus",ミユビナマケモノ
24,023_sorrel,栗毛馬
25,"024_black-footed_ferret,_ferret,_Mustela_nigripes",フェレット
26,"025_dalmatian,_coach_dog,_carriage_dog",ダルメシアン
27,"026_Staffordshire_bullterrier,_Staffordshire_bull_terrier",スタッフォードシャー・ブル・テリア
28,"027_Bouvier_des_Flandres,_Bouviers_des_Flandres",ブービエ・デ・フランダース
29,028_weasel,イタチ
30,029_miniature_poodle,ミニチュアプードル
31,"030_bighorn,_bighorn_sheep,_cimarron,_Rocky_Mountain_bighorn,_Rocky_Mountain_sheep,_Ovis_canadensis",ビッグホーン
32,"031_fox_squirrel,_eastern_fox_squirrel,_Sciurus_niger",キツネリス
33,"032_colobus,_colobus_monkey",コロブスサル
34,033_tiger_cat,ジャガーネコ
35,"034_impala,_Aepyceros_melampus",インパラ
36,"035_coyote,_prairie_wolf,_brush_wolf,_Canis_latrans",コヨーテ
37,036_Yorkshire_terrier,ヨークシャーテリア
38,"037_Newfoundland,_Newfoundland_dog",ニューファンドランド
39,"038_red_fox,_Vulpes_vulpes",アカギツネ
40,039_hartebeest,ハーテビースト
